year,event,week,team,n_matches,resid_mean,resid_sd,resid_min
2026,2026sccha,Week 1,8116,12,0.0,16.054,-28.919
2026,2026sccha,Week 1,1648,12,0.0,46.36,-68.588
2026,2026sccha,Week 1,4864,12,0.0,25.87,-44.451
2026,2026sccha,Week 1,6167,12,0.0,26.339,-36.069
2026,2026sccha,Week 1,10388,12,0.0,21.306,-29.565
2026,2026sccha,Week 1,3490,12,0.0,28.214,-32.706
2026,2026sccha,Week 1,10361,12,0.0,21.223,-49.394
2026,2026sccha,Week 1,10231,12,0.0,29.356,-68.588
2026,2026sccha,Week 1,10619,12,0.0,31.127,-36.069
2026,2026sccha,Week 1,342,12,0.0,29.77,-35.691
2026,2026sccha,Week 1,8430,12,0.0,21.563,-44.451
2026,2026sccha,Week 1,3976,12,0.0,33.075,-57.266
2026,2026sccha,Week 1,4451,12,0.0,34.052,-57.266
2026,2026sccha,Week 1,9496,12,0.0,54.663,-127.26
2026,2026sccha,Week 1,11424,12,0.0,19.867,-27.998
2026,2026sccha,Week 1,4533,12,0.0,19.678,-35.309
2026,2026sccha,Week 1,10591,12,0.0,28.239,-49.394
2026,2026sccha,Week 1,3489,12,0.0,41.791,-127.26
2026,2026sccha,Week 1,4083,12,0.0,29.211,-36.382
2026,2026sccha,Week 1,1293,12,0.0,44.871,-127.26
2026,2026txbel,Week 1,9121,12,-0.0,18.986,-27.329
2026,2026txbel,Week 1,8749,12,0.0,35.187,-72.685
2026,2026txbel,Week 1,2728,12,-0.0,31.695,-70.673
2026,2026txbel,Week 1,9080,12,-0.0,23.665,-33.975
2026,2026txbel,Week 1,148,12,-0.0,36.457,-70.673
2026,2026txbel,Week 1,10518,12,-0.0,26.99,-47.323
2026,2026txbel,Week 1,10014,12,-0.0,20.993,-47.323
2026,2026txbel,Week 1,6171,12,0.0,37.437,-72.685
2026,2026txbel,Week 1,6672,12,-0.0,28.97,-31.482
2026,2026txbel,Week 1,5503,12,-0.0,26.469,-66.683
2026,2026txbel,Week 1,1296,12,0.0,47.527,-92.586
2026,2026txbel,Week 1,4610,12,-0.0,27.482,-48.311
2026,2026txbel,Week 1,2789,12,-0.0,35.126,-66.683
2026,2026txbel,Week 1,7271,12,-0.0,24.13,-33.173
2026,2026txbel,Week 1,2881,12,-0.0,38.706,-68.082
2026,2026txbel,Week 1,2689,12,-0.0,36.618,-68.082
2026,2026txbel,Week 1,9506,12,-0.0,24.325,-28.183
2026,2026txbel,Week 1,5103,12,-0.0,22.976,-32.116
2026,2026txbel,Week 1,7125,12,0.0,22.529,-46.692
2026,2026txbel,Week 1,436,12,-0.0,25.154,-46.692
2026,2026txbel,Week 1,9418,12,-0.0,25.947,-46.692
2026,2026txbel,Week 1,8769,12,0.0,20.926,-33.975
2026,2026txbel,Week 1,5986,12,-0.0,23.121,-48.311
2026,2026txbel,Week 1,11178,12,-0.0,24.052,-35.012
2026,2026txbel,Week 1,4364,12,-0.0,37.48,-105.885
2026,2026txbel,Week 1,2468,12,-0.0,49.29,-105.885
2026,2026txbel,Week 1,624,12,-0.0,44.839,-105.885
2026,2026txbel,Week 1,9786,12,-0.0,26.349,-31.482
2026,2026txbel,Week 1,6526,12,-0.0,25.991,-37.351
2026,2026txbel,Week 1,2687,12,-0.0,36.271,-92.586
2026,2026txbel,Week 1,2714,12,-0.0,23.098,-25.007
2026,2026txbel,Week 1,418,12,-0.0,32.157,-48.311
2026,2026txbel,Week 1,3240,12,-0.0,37.01,-92.586
2026,2026orsal,Week 1,7034,12,0.0,64.014,-164.599
2026,2026orsal,Week 1,10991,12,0.0,48.087,-77.975
2026,2026orsal,Week 1,9438,12,0.0,37.053,-72.066
2026,2026orsal,Week 1,2521,12,0.0,36.859,-74.843
2026,2026orsal,Week 1,4125,12,0.0,61.957,-164.599
2026,2026orsal,Week 1,6845,12,0.0,37.036,-91.138
2026,2026orsal,Week 1,846,12,0.0,35.91,-61.543
2026,2026orsal,Week 1,997,12,0.0,34.841,-82.402
2026,2026orsal,Week 1,9430,12,0.0,42.19,-88.295
2026,2026orsal,Week 1,4043,12,0.0,60.997,-140.3
2026,2026orsal,Week 1,749,12,0.0,28.395,-41.523
2026,2026orsal,Week 1,2926,12,0.0,30.465,-59.853
2026,2026orsal,Week 1,3674,12,0.0,32.941,-82.402
2026,2026orsal,Week 1,753,12,0.0,30.987,-48.607
2026,2026orsal,Week 1,5920,12,0.0,34.617,-42.944
2026,2026orsal,Week 1,5468,12,0.0,67.718,-140.3
2026,2026orsal,Week 1,1540,12,0.0,66.106,-164.599
2026,2026orsal,Week 1,3024,12,0.0,22.974,-48.607
2026,2026orsal,Week 1,9023,12,0.0,53.835,-77.975
2026,2026orsal,Week 1,847,12,0.0,54.998,-140.3
2026,2026orsal,Week 1,1359,12,0.0,38.587,-88.295
2026,2026orsal,Week 1,4692,12,0.0,33.876,-56.686
2026,2026orsal,Week 1,2733,12,0.0,26.923,-56.686
2026,2026orsal,Week 1,8532,12,0.0,40.948,-66.666
2026,2026orsal,Week 1,955,12,0.0,57.181,-82.402
2026,2026orsal,Week 1,3673,12,0.0,37.23,-58.67
2026,2026orsal,Week 1,2811,12,0.0,48.274,-71.504
2026,2026orsal,Week 1,9567,12,0.0,47.157,-66.666
2026,2026orsal,Week 1,6443,12,0.0,28.178,-42.944
2026,2026orsal,Week 1,4060,12,0.0,24.067,-35.135
2026,2026orsal,Week 1,3712,12,0.0,31.297,-71.504
2026,2026orsal,Week 1,6343,12,0.0,36.411,-74.843
2026,2026orsal,Week 1,6465,12,0.0,37.98,-41.523
2026,2026orsal,Week 1,2374,12,0.0,53.074,-49.377
2026,2026orsal,Week 1,4061,12,0.0,46.307,-77.975
2026,2026brba,Week 1,10345,9,-0.0,26.781,-39.927
2026,2026brba,Week 1,9049,9,0.0,22.412,-21.568
2026,2026brba,Week 1,9459,9,0.0,30.068,-48.896
2026,2026brba,Week 1,9166,9,0.0,32.952,-45.836
2026,2026brba,Week 1,10917,9,0.0,16.976,-31.732
2026,2026brba,Week 1,9484,9,0.0,34.319,-39.927
2026,2026brba,Week 1,9169,9,0.0,27.342,-41.468
2026,2026brba,Week 1,10295,9,-0.0,24.001,-41.468
2026,2026brba,Week 1,10263,9,0.0,30.064,-46.654
2026,2026brba,Week 1,7565,9,0.0,18.277,-24.367
2026,2026brba,Week 1,9047,9,0.0,23.807,-45.836
2026,2026brba,Week 1,7563,9,0.0,32.585,-47.941
2026,2026brba,Week 1,9085,9,0.0,20.376,-32.828
2026,2026brba,Week 1,7033,9,0.0,30.471,-47.941
